color;team name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;total distance;time slow speed;time boost speed;time supersonic speed;time on ground;time low in air;time high in air;time powerslide;count powerslide;time behind ball;time in front of ball;time defensive half;time offensive half;time defensive third;time neutral third;time offensive third;time ball possession;time ball in own side;demos inflicted;demos taken
blue;;302;1312;5;3;4;9;7;2;55.56;907;90.86;4724;3734;990;42;94;813;565;248;6;24;74.77;83.06;844;364;50;902478;228.27;229.15;140.05;299.8;248.18;49.49;8.22;62;460.95;136.51;398.44;199.01;286.77;194.65;116.04;96.35;131.12;2;2
orange;;302;920;2;2;4;7;9;5;28.57;892;94.4;4618;3353;1265;42;113;893;451;442;5;38;78.28;78.57;442;805;53;891983;231.59;245.34;120.16;296.74;268.02;32.34;10.18;97;423.81;173.27;370.4;226.69;261.13;219.71;116.23;121.21;137.88;2;2
